date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:20:27	208/208	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2001%20Feb%202022%2012:20:26%20GMT	https://offsetcode.com/robots.txt		(from )
12:20:27	206432/206432	---MC-	200	added ('OK')	text/html	date:Tue,%2001%20Feb%202022%2012:20:27%20GMT	https://offsetcode.com/themes/messenger/2.1.0/	C:/Downloaded%20Web%20Sites/New1/offsetcode.com/themes/messenger/2.1.0/index.html	(from )
12:20:28	9662/9662	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2225be-5c9605f5d9153%22	https://offsetcode.com/themes/messenger/2.1.0/assets/img/favicon/favicon.ico	C:/Downloaded%20Web%20Sites/New1/offsetcode.com/themes/messenger/2.1.0/assets/img/favicon/favicon.ico	(from https://offsetcode.com/themes/messenger/2.1.0/)
12:20:28	328207/328207	---M--	200	added ('OK')	text/css	etag:%2261155f63-5020f%22	https://offsetcode.com/themes/messenger/2.1.0/assets/css/template.bundle.css	C:/Downloaded%20Web%20Sites/New1/offsetcode.com/themes/messenger/2.1.0/assets/css/template.bundle.css	(from https://offsetcode.com/themes/messenger/2.1.0/)
12:20:29	206432/206432	---MC-	200	added ('OK')	text/html	date:Tue,%2001%20Feb%202022%2012:20:28%20GMT	https://offsetcode.com/themes/messenger/2.1.0/index.html	C:/Downloaded%20Web%20Sites/New1/offsetcode.com/themes/messenger/2.1.0/index-2.html	(from https://offsetcode.com/themes/messenger/2.1.0/)
12:20:29	327982/327982	---M--	200	added ('OK')	text/css	etag:%2261155f63-5012e%22	https://offsetcode.com/themes/messenger/2.1.0/assets/css/template.dark.bundle.css	C:/Downloaded%20Web%20Sites/New1/offsetcode.com/themes/messenger/2.1.0/assets/css/template.dark.bundle.css	(from https://offsetcode.com/themes/messenger/2.1.0/)
12:20:29	9335/9335	---M--	200	added ('OK')	image/jpeg	etag:%2261155f67-2477%22	https://offsetcode.com/themes/messenger/2.1.0/assets/img/avatars/1.jpg	C:/Downloaded%20Web%20Sites/New1/offsetcode.com/themes/messenger/2.1.0/assets/img/avatars/1.jpg	(from https://offsetcode.com/themes/messenger/2.1.0/)
12:20:30	18136/18136	---M--	200	added ('OK')	image/jpeg	etag:%2261155f68-46d8%22	https://offsetcode.com/themes/messenger/2.1.0/assets/img/avatars/6.jpg	C:/Downloaded%20Web%20Sites/New1/offsetcode.com/themes/messenger/2.1.0/assets/img/avatars/6.jpg	(from https://offsetcode.com/themes/messenger/2.1.0/)
12:20:30	86406/86406	---M--	200	added ('OK')	image/jpeg	etag:%2261155f68-15186%22	https://offsetcode.com/themes/messenger/2.1.0/assets/img/avatars/5.jpg	C:/Downloaded%20Web%20Sites/New1/offsetcode.com/themes/messenger/2.1.0/assets/img/avatars/5.jpg	(from https://offsetcode.com/themes/messenger/2.1.0/)
12:20:30	32796/32796	---M--	200	added ('OK')	image/jpeg	etag:%2261155f68-801c%22	https://offsetcode.com/themes/messenger/2.1.0/assets/img/avatars/8.jpg	C:/Downloaded%20Web%20Sites/New1/offsetcode.com/themes/messenger/2.1.0/assets/img/avatars/8.jpg	(from https://offsetcode.com/themes/messenger/2.1.0/)
